ts_code,t0,plan_amount_yi,exp_date,impl_first,impl_last,total_vol_wan,total_amt_yi,n_progress,stopped,outcome,base_date,gap_cal_days,d0,d1,ex1,d5,ex5,d20,ex20,d60,ex60,suspended
002550.SZ,20240104,1.7,20250102,20240105,20240229,6880.0,3.9495695399999997,4,False,完成,20240104,0,0.015228426395939021,-0.011666666666666714,-0.0031756634463039335,-0.01333333333333342,0.009806205591980977,-0.18833333333333335,-0.1345467201190479,-0.16833333333333322,-0.1940286987068015,
002551.SZ,20240310,0.09,20240609,20240510,20240608,244.0,0.07182770999999999,3,False,完成,20240308,2,0.010791366906474975,0.06049822064056931,0.0527439771935454,0.06761565836298944,0.06460406413553454,0.11387900355871894,0.11295908254111242,-0.10676156583629903,-0.10830124411756648,
002552.SZ,20230425,0.0,,20230621,20230621,765.1809,1e-08,1,False,完成,20230425,0,-0.023140495867768562,0.03891708967851115,0.039162519910609594,0.03835307388606868,0.016670181095254977,0.0321489001692048,0.048974240699283245,-0.010716300056401562,-0.0005065554674987816,
002552.SZ,20240411,0.0,,20240702,20240702,1941.8203,1e-08,1,False,完成,20240411,0,0.007052186177715081,0.10014005602240905,0.10552253711840587,0.1295518207282913,0.1148627675603997,-0.01680672268907568,-0.051664112652686556,0.0308123249299721,0.06408699692491182,
002552.SZ,20250329,0.0,,20250711,20250711,2055.6708,1e-08,1,False,完成,20250328,1,-0.004739336492891044,0.005442176870748439,0.010132366891024702,-0.11496598639455768,-0.042161304466781346,-0.11496598639455768,-0.09803939630022596,-0.04217687074829923,-0.06257399188596269,
002554.SZ,20240311,0.5,20250326,20240416,20241031,5700.959999999999,1.3587163100000001,7,False,完成,20240311,0,0.01872659176029967,0.003676470588235059,0.0077886100422328575,0.02941176470588225,0.02391560881919763,0.04411764705882337,0.05829996950550154,-0.15808823529411775,-0.14685263415155414,
002555.SZ,20210802,3.0,20220201,20210803,20210809,1951.5034,3.6059702979,2,False,完成,20210802,0,0.030475206611570105,-0.056140350877193046,-0.05168000067944967,-0.094235588972431,-0.1021017632622423,-0.17665427552852753,-0.19155829476952546,0.2679726951374095,0.25555897978925923,
002555.SZ,20221112,6.0,20231111,20221116,20230831,3579.4507000000003,7.8954104287,5,False,完成,20221111,1,0.01679586563307489,0.03240152477763658,0.03370443142600821,0.17471410419313838,0.17094006728018818,0.10292249047013957,0.0617702897918504,0.38310038119440915,0.3001911301330604,
002555.SZ,20231228,2.0,20250112,20240115,20240115,562.66,1.00691594,1,False,完成,20231228,0,0.004980630879911407,0.03579295154185003,0.028748952479911383,0.033590308370044175,0.04259535472124565,0.02698237885462551,0.042679114983223965,-0.0038546255506607396,-0.04356447256951956,
002556.SZ,20220428,1.0,20221027,20220601,20221024,2547.3,2.82624857,6,False,完成,20220428,0,0.009137055837563413,0.02414486921529191,8.69989889571432e-05,0.04325955734406439,0.02251721459618783,0.14886357739608758,0.07280851076608097,0.1304161693736703,0.026797126649106495,
002556.SZ,20221125,1.5,20230524,20221129,20230524,5362.397799999999,4.70906439,9,False,完成,20221125,0,0.001079913606911509,-0.011866235167206085,-0.004437390194672486,0.006472491909385036,-0.010891554276133975,-0.07766990291262121,-0.06076478262760876,-0.04854368932038822,-0.0942006109781901,
002556.SZ,20230628,1.0,20240627,20230825,20260721,3746.7,2.465343,7,False,完成,20230628,0,0.011204481792717047,0.0,0.0021979139394112668,0.02216066481994483,0.011513558628174714,0.07340720221606656,0.06219960252085577,-0.011080332409972193,0.014626849860889024,
002557.SZ,20210907,0.6,20220906,20211126,20220315,242.87,1.29844729,5,False,完成,20210907,0,0.09999999999999987,-0.04115784712799653,-0.0407925663733365,-0.061284486657621096,-0.05770014085160191,0.05156037991858886,0.086523080016506,0.3052917232021708,0.30655165496537595,
002557.SZ,20230831,1.5,20240830,20230928,20240506,2032.5400000000002,7.1328556972,8,False,完成,20230831,0,0.0015151515151514694,0.0251134644478066,0.020739064387413464,0.04841149773071107,0.04758014951057854,-0.01089258698940998,-0.00790310891817958,0.14493192133131627,0.1782569927984854,
002557.SZ,20240620,1.0,20250619,20240620,20240708,648.5544,1.85863359,3,False,完成,20240620,0,-0.005502063273727487,0.0024204702627936836,0.00486094105789503,-0.012448132780083054,0.007526657617550114,-0.04460580912863077,-0.03552291096849869,-0.1224066390041495,-0.029285250148603725,
002557.SZ,20241115,0.8,20251114,20241231,20251112,952.8658,2.4088396405,8,False,完成,20241115,0,-0.005029864822382768,-0.042654028436018954,-0.04067309031849298,-0.06477093206951023,-0.04658421223886333,0.021800947867298692,0.0033789805384345506,-0.12743169898358297,-0.12579503496213928,
002558.SZ,20220317,6.0,20230316,20220408,20230307,20575.358,17.57857032,12,False,完成,20220317,0,0.0714285714285714,-0.007960199004975133,-0.018953836287943227,-0.027860696517413075,-0.038394808466806096,-0.09054726368159205,-0.08499168902801302,-0.10715506059567192,-0.13454275572138463,
002558.SZ,20231226,2.0,20241225,20240124,20241220,2701.58,2.57757917,5,False,完成,20231226,0,-0.01338090990187335,-0.001808318264014508,-0.00719724695545354,0.044303797468354444,0.020241938322539177,-0.10216998191681737,-0.07730918772909179,0.10669077757685352,0.06559973110379347,
002559.SZ,20210629,0.01,,20220906,20220906,95.4767,0.0,1,False,完成,20210629,0,-0.007462686567164312,0.003007518796992459,-0.002025146573900516,0.015037593984962516,0.02737787828995808,0.24060150375939848,0.3110468976762808,0.18947368421052624,0.1911441699005303,
002559.SZ,20220930,0.0,,,,0.0,0.0,0,False,未实施,20220930,0,-0.021406727828746086,-0.02968750000000009,-0.013295077291362478,0.1812499999999999,0.1629481214323576,0.296875,0.277276614524981,0.12968749999999996,0.10596662809173352,
002559.SZ,20230614,,,20240129,20240129,536.3,0.0137925,3,False,完成,20230614,0,0.010309278350515427,0.025510204081632626,0.017948419191492038,0.09948979591836737,0.11017821244869452,0.14923469387755106,0.14614215795409757,0.04336734693877542,0.08095123914576874,
002559.SZ,20240926,0.7,20250325,20241011,20241018,988.6,0.79531934,2,False,完成,20240926,0,0.0332409972299168,0.03887399463806984,0.009743396476230792,0.126005361930295,0.02336903396246992,0.3310991957104559,0.21792056679168614,0.24798927613941046,0.10214018519085188,
