ts_code,t0,plan_amount_yi,exp_date,impl_first,impl_last,total_vol_wan,total_amt_yi,n_progress,stopped,outcome,days,ret,ex
000625.SZ,20260303,0.0,,20260410,20260630,18904.6356,16.515317068499996,6,False,完成,53,-0.29150197628458496,-0.3102202390047616
000626.SZ,20220407,0.6,20221022,20220505,20220930,617.7,0.80025346,4,False,完成,104,-0.3467181467181466,-0.3373504218593699
000629.SZ,20250428,0.08,,20250429,20251018,7840.1318,2.1269164831999996,5,False,完成,113,0.15564202334630384,-0.01082331910243306
000630.SZ,20240907,3.0,20250920,20241122,20250909,17809.190000000002,6.14643201,7,False,完成,195,0.36102718327201244,0.16795250539549578
000631.SZ,20200326,,20210324,20200427,20210323,153883.87660000002,45.8183832826,17,False,完成,219,0.013372268284786548,
000631.SZ,20220416,2.88,20230413,20220607,20220916,17351.7157,6.731201142799999,5,False,完成,72,0.21203438395415475,0.2567591214155398
000631.SZ,20250111,5.0,20260212,20251205,20260211,29129.525100000003,11.7421283498,7,False,完成,46,0.16715542521994142,0.10242003877788042
000635.SZ,20230425,0.04,,20230818,20230818,64.1602,0.0470981964,2,False,完成,0,0.0,
000650.SZ,20210727,2.0,20220726,20210730,20210809,4044.0,3.9630948447,3,False,完成,6,-0.03853955375253548,-0.06530297189677003
000650.SZ,20231208,1.5,20241207,20231208,20240329,5137.0,3.3488558504999997,5,False,完成,73,-0.02086438152011927,-0.043919168089149196
000650.SZ,20260424,1.5,20270422,20260428,20260805,10200.350000000002,5.7819976439000005,8,False,完成,64,-0.032041156007946214,0.017925694143515303
000651.SZ,20200413,60.0,20210410,20200716,20200930,21514.0231,119.18044731149999,5,False,完成,54,-0.048044293623861534,
000651.SZ,20201014,60.0,20211013,20210131,20210517,36249.8491,210.3331209587,6,False,完成,67,0.03534635879218495,0.025178194173794965
000651.SZ,20210527,150.0,20220526,20210531,20210909,177364.9343,871.5299195178,10,False,完成,72,-0.2163299221456395,-0.2328074874026428
000651.SZ,20231031,30.0,20241030,20231107,20231229,18124.9332,59.3486668142,4,False,完成,38,-0.04794317845516416,-0.021593860414240384
000651.SZ,20260429,100.0,20270630,20260818,20260831,237.11,0.93352105,3,False,完成,9,0.02142203202894888,0.022448425498202473
000652.SZ,20250626,0.7,20260711,20250804,20260513,5758.9545,2.453575821,7,False,完成,184,-0.0045977011494252595,-0.15927559579154016
000661.SZ,20211124,6.0,20221123,20211203,20220121,352.7903,9.056037502599999,3,False,完成,34,-0.36425393979102727,-0.3489377994329117
000661.SZ,20240120,1.2,20250119,20240124,20240201,109.74,1.3238747473,2,False,完成,6,-0.07061207944872305,-0.053830006915308926
000661.SZ,20241116,5.0,20251114,20241122,20250430,913.8234,9.7736810838,4,False,完成,105,-0.19799270072992692,-0.20088855772656855
000672.SZ,20220316,3.0,20230315,20220606,20220715,2009.2667999999999,3.0001016092999997,2,False,完成,29,-0.015101772816809023,-0.01256604334339062
000672.SZ,20240618,2.0,20240917,20240620,20240823,4613.262,2.8856606713999997,5,False,完成,46,0.013988457669296128,0.06765450729571132
000676.SZ,20201210,0.0,,20210506,20210506,4919.3562999999995,0.33086462250000004,3,False,完成,0,0.0,
000676.SZ,20230131,3.0,20240719,20230316,20240425,5303.7472,3.3772574403,4,False,完成,269,0.06020066889632103,0.1206237376578505
000680.SZ,20250423,3.0,20260422,20250604,20260228,4444.214400000001,4.2269420248000005,6,False,完成,178,0.5230197885455503,0.23520783064444029
000681.SZ,20230901,0.7,20240918,20230926,20240202,554.3299999999999,0.82456375,4,False,完成,86,-0.23975409836065564,-0.13613233625159593
000683.SZ,20200602,4.0,20210619,20200630,20210531,23368.6235,5.6011767216,8,False,完成,223,1.3009839115946686,
000685.SZ,20220625,1.51,20230711,20220725,20221130,1413.1721,1.0301835152,4,False,完成,86,-0.03629032258064524,-0.005999021758255507
000688.SZ,20260729,6.0,20270727,20260731,20260831,355.40999999999997,1.041575038,2,False,完成,21,0.13978494623655924,0.09574221333888944
000703.SZ,20200829,10.0,20210828,20201119,20210326,12932.2454,17.303359985300002,5,False,完成,85,0.0723897097338071,
000703.SZ,20211028,10.0,20221027,20211104,20220721,19133.4654,19.0566088931,7,False,完成,173,-0.08654759394797351,-0.015396461502714454
000703.SZ,20221028,20.0,20231027,20221031,20231017,102695.48,74.25852696860001,11,False,完成,233,0.0731343283582091,0.007004849594591134
000703.SZ,20231216,10.0,20241215,20231218,20240930,68785.6178,44.9977823991,10,False,完成,190,0.06774902956326634,-0.062081481094357405
000703.SZ,20241024,2.5,20251022,20241022,20250127,21783.8317,13.882224414100001,6,False,完成,68,-0.0331230283911671,-0.022633251330529847
