ts_code,t0,plan_amount_yi,exp_date,impl_first,impl_last,total_vol_wan,total_amt_yi,n_progress,stopped,outcome,base_date,gap_cal_days,d0,d1,ex1,d5,ex5,d20,ex20,d60,ex60
000959.SZ,20230421,0.74,,,,0.0,0.0,0,False,未实施,20230421,0,-0.03544303797468351,-0.02887139107611547,-0.021208744156983816,-0.02887139107611547,-0.03530523668596608,-0.057742782152231054,-0.02936756697759857,-0.047244094488189115,-0.007087887390640701
000962.SZ,20231230,,,,,0.0,0.0,0,False,未实施,20231229,1,0.007317073170731714,0.030669895076674836,0.035074223725643394,-0.03309120258272802,-0.003825844203536599,-0.14608555286521385,-0.11896421912381427,-0.03551251008878131,-0.06688584428371369
000997.SZ,20210113,6.0,20220208,,,0.0,0.0,0,False,未实施,20210113,0,0.013370865587614356,0.007638888888888973,0.016892460120778496,0.01736111111111116,0.02177906505052052,0.04513888888888884,0.029001475135482346,-0.02708333333333346,0.030068016946222853
000999.SZ,20250515,,,,,0.0,0.0,0,False,未实施,20250515,0,-0.006174305390643564,-0.001672640382317736,0.0022879550919212566,-0.005495818399044339,-0.005309609346935362,-0.00966663217705066,-0.008544800446936174,-0.009353730639033886,-0.07865747364289088
000999.SZ,20250617,0.31,,,,0.0,0.0,0,False,未实施,20250617,0,-0.004784688995215336,-0.005769230769230749,-0.00618105743030839,0.006089743589743568,-0.0036639178207228396,-0.018589743589743524,-0.05151639096870464,-0.04807692307692302,-0.15305980179344048
001207.SZ,20230607,0.01,,,,0.0,0.0,0,False,未实施,20230607,0,-0.02705953096812974,-0.02348578491965403,-0.02829508443237405,0.011124845488256874,0.00134548982665339,0.015451174289245806,0.015816330319218252,-0.005562422744128659,0.014912555170610853
001266.SZ,20260624,,,,,0.0,0.0,0,False,未实施,20260624,0,-0.04659026864550064,0.020689655172413834,0.018344408806559853,-0.05931034482758624,-0.05968362917212855,-0.41359605911330044,-0.3766288511147531,,
001267.SZ,20260403,0.01,,,,0.0,0.0,0,False,未实施,20260403,0,0.016859587317564095,-0.0034644889878741036,-0.006043536793633342,0.05939123979213079,0.030583096328636872,0.4033655035882209,0.3026492237100642,0.13188855838138758,0.0861089475311223
001270.SZ,20260515,0.0,,,,0.0,0.0,0,False,未实施,20260515,0,-0.019077256122310926,-0.016206896551724026,-0.015287330576442604,-0.010413793103448143,-0.014507716889684108,-0.13670757416051804,-0.12850603925400494,-0.22807844451136883,-0.1885813834749055
001283.SZ,20240109,0.03,,,,0.0,0.0,0,False,未实施,20240109,0,0.012319538017324216,-0.019775622741966203,-0.014479206624849139,-0.0916524054002662,-0.0918838246537832,-0.4287887431070546,-0.4075404172739536,-0.29131013500665526,-0.32093529776339513
001283.SZ,20241029,2.0,20250426,,,0.0,0.0,0,False,未实施,20241029,0,0.09993108201240508,-0.03195488721804518,-0.02597715482859031,-0.04720133667502102,-0.07549562806344046,-0.01566416040100249,-0.00761682691918808,0.2942773600668338,0.3235906170548728
001301.SZ,20241015,1.0,20251030,,,0.0,0.0,0,False,未实施,20241015,0,-0.014734774066797574,0.011565304087736594,0.011042269277274697,0.11605184446660011,0.08732576163416317,0.47218344965104686,0.3772443402360397,0.27517447657028926,0.26377508826436147
