ts_code,t0,final_stage,terminate_date,apply_date,list_date,raise_plan_yi,raise_act_yi,price_ratio,purpose,days,ret,ex
300258.SZ,20200421,实施完成,,20201102,20201126,10.08,10.08,80.0,1、新能源汽车轻量化关键零部件生产项目;2、年产2万套模具及150万套差速器总成项目;3、偿还银行贷款。,18,0.13247863247863267,
300036.SZ,20200421,实施完成,,20210713,20210802,7.23,7.23,80.0,用于1、SuperMapGIS11基础软件升级研发与产业化项目;2、自然资源信息化产品研发及产业化项目;3、智慧城市操作,14,-0.04054054054054057,-0.012225219665793263
002940.SZ,20200421,实施完成,,20201022,20201127,5.6,2.75,80.0,1、杭州药物研发平台项目;2、年产5吨多索茶碱、20吨氢氧化钾、3吨苯磺酸左旋氨氯地平、120吨哌拉西林钠、25吨他唑巴,26,-0.13646574316735305,
600438.SH,20200421,实施完成,,20201117,20201208,59.83,59.83,80.0,1、年产7.5GW高效晶硅太阳能电池智能工厂项目(眉山二期);2、年产7.5GW高效晶硅太阳能电池智能互联工厂项目(金堂,15,-0.009497964721845276,
002562.SZ,20200420,实施完成,,20201207,20210108,12.0,5.43,80.0,"1、年产30,000吨天然香料建设项目;2、兄弟科技研究院建设项目;3、偿还银行贷款。",23,-0.14853051830377106,
300046.SZ,20200420,实施完成,,20210316,20210414,5.0,3.5,80.0,用于新型高功率半导体器件产业升级项目、高功率半导体技术研发中心项目、补充流动资金,20,-0.05148205928237126,-0.04315035515023258
000723.SZ,20200420,实施完成,,20201208,20210129,10.98,10.98,80.0,1、用于“华盛化工新材料项目”。,37,0.047166395409791395,
000050.SZ,20190829,实施完成,,20200812,20200910,73.0,55.95,80.0,用于武汉天马第6代LTPSAMOLED生产线二期项目,21,-0.12170263788968816,
002149.SZ,20200418,实施完成,,20201228,20210203,7.85,7.85,80.0,用于1、高性能低成本钛合金材料生产线技术改造项目;2、西部材料联合技术中心建设项目;3、补充流动资金。,26,-0.107886850465861,
300454.SZ,20200415,实施完成,,20201118,20201215,8.88,8.88,80.0,用于云化环境下的安全产品和解决方案升级项目、网络信息安全服务与产品研发基地项目,19,0.16193021224112214,
002743.SZ,20200415,实施完成,,20201111,20201218,6.55,6.55,80.0,用于九里安置区装配式建筑深化设计施工总承包项目、补充流动资金,27,-0.08977556109725682,
300472.SZ,20200314,实施完成,,20210222,20210315,6.0,4.65,80.0,用于废旧轮胎循环利用智慧工厂项目、补充流动资金,15,-0.06236559139784936,-0.0013637440088463126
002459.SZ,20200411,实施完成,,20200917,20201030,52.0,52.0,80.0,用于年产5GW高效电池和10GW高效组件及配套项目、补充流动资金,25,0.3168384879725086,
603319.SH,20200411,实施完成,,20201215,20210114,3.67,3.67,80.0,用于节能与新能源汽车零部件智能制造技术改造项目、补充流动资金,21,-0.11903119109435567,
300433.SZ,20200411,实施完成,,20201215,20210127,150.0,150.0,80.0,1、长沙(二)园智能穿戴和触控功能面板建设项目；2、长沙(二)园车载玻璃及大尺寸功能面板建设项目；3、长沙(二)园3D触,30,0.130257079423598,
002239.SZ,20200411,实施完成,,20210118,20210305,4.42,4.42,80.0,"用于1、新能源汽车热泵空调系统项目;2、年产60万台第四代电动压缩机项目;3、年产1,500万支压缩机活塞项目;4、中央",29,-0.14012738853503193,-0.11698857556163478
002856.SZ,20190430,实施完成,,20200707,20200811,3.02,1.82,80.0,1、深圳建行大厦非公共区域精装修设计施工一体化和幕墙工程项目；2、恒明湾创汇中心一期6#地块幕墙工程项目。,25,-0.027380952380952395,
603838.SH,20190903,实施完成,,20200608,20200624,5.0,3.33,80.0,用于年产800万m2特种高性能陶瓷板材项目(第一期),12,0.11604938271604937,
002384.SZ,20191018,实施完成,,20200707,20200806,28.92,28.92,80.0,1、年产40万平方米精细线路柔性线路板及配套装配扩产项目；2、Multek印刷电路板生产线技术改造项目；3、盐城东山通信,22,-0.08761232349165604,
601615.SH,20200409,实施完成,,20201020,20201118,59.0,58.03,80.0,1、10MW级海上漂浮式风机设计研发项目;2、汕尾海洋工程基地(陆丰)项目明阳智能海上风电产业园工程;3、北京洁源山东菏,21,-0.177221926556679,
002850.SZ,20200409,实施完成,,20201028,20201201,13.86,13.86,80.0,用于惠州动力锂电池精密结构件新建项目、补充流动资金,24,-0.14358322744599739,
600562.SH,20181104,实施完成,,20200710,20200724,6.0,6.0,80.0,"募集配套资金用于补充上市公司流动资金、支付本次交易的现金对价,其余用于支付中介机构费用及相关交易税费。",10,-0.029875986471251337,
002560.SZ,20200408,实施完成,,20200922,20201102,6.0,6.0,80.0,1、航空零部件制造基地建设项目；2、新都区航飞航空结构件研发生产项目；3、偿还银行借款。,23,-0.17399438727782957,
600496.SH,20200408,实施完成,,20200813,20200828,10.0,10.0,80.0,1、绍兴国际会展中心一期B区工程EPC项目;2、绍兴南部综合交通枢纽建设工程施工总承包项目;3、补充流动资金。,11,0.18213660245183894,
600116.SH,20190324,实施完成,,20200611,20200623,5.0,5.0,90.0,募集配套资金用于1、支付本次交易现金对价;2、补充上市公司流动资金;3、支付本次交易的中介机构费用及交易税费。,8,-0.014634146341463317,
