ts_code,entry_date,entry_price,shares,exit_date,exit_price,exit_reason,fill_scenario,gross_pnl,fees,ret_pct
000498.SZ,20210715,5.87,124100,20210716,5.96403,规则卖出,base,10561.836096250032,1107.28690375,0.014495092155410935
600673.SH,20210715,5.43,134200,20210716,5.58441,规则卖出,base,19602.860722500074,1118.9612775,0.02689419495954751
002454.SZ,20210716,6.0,127100,20210719,6.5934,规则卖出,base,74182.96357499997,1238.176425,0.09725206198450384
300813.SZ,20210719,53.54,14700,20210720,64.18575,规则卖出,base,155116.35234375,1376.1726562499998,0.19703951136795556
000561.SZ,20210719,7.23,108900,20210720,7.41258,规则卖出,base,18677.087797500095,1205.8742025000001,0.023715616738968905
002564.SZ,20210719,4.53,173800,20210720,4.54545,规则卖出,base,1500.882487499915,1184.3275125,0.0019058563173775015
300303.SZ,20210720,6.18,136800,20210721,6.78321,规则卖出,base,81147.84309000001,1371.28491,0.09596079742200372
600477.SH,20210720,4.22,200400,20210721,4.2957,规则卖出,base,13882.78515000003,1287.49485,0.016411862674141926
600628.SH,20210720,8.53,99100,20210721,8.5914,规则卖出,base,4809.149575000128,1275.5904249999999,0.005687704685786501
300757.SZ,20210721,46.96,18700,20210722,47.152800000000006,规则卖出,base,2283.625300000131,1321.7347000000002,0.002599839818580428
002144.SZ,20210721,10.27,85600,20210722,10.469520000000001,规则卖出,base,15738.895360000131,1340.0166400000003,0.01789869961915573
300437.SZ,20210721,10.39,84600,20210722,10.2897,规则卖出,base,-9793.264274999978,1307.884275,-0.011138661436661984
002224.SZ,20210722,5.24,168300,20210723,5.3946000000000005,规则卖出,base,24663.81802500004,1355.361975,0.027959947036141772
002514.SZ,20210722,5.04,174900,20210723,5.03496,规则卖出,base,-2202.638130000025,1321.14213,-0.0024981254686328703
002843.SZ,20210722,9.23,95500,20210723,9.76023,规则卖出,base,49251.47129374995,1385.49370625,0.05586059741835933
601606.SH,20210723,11.97,75600,20210726,12.287700000000001,规则卖出,base,22630.699350000134,1387.42065,0.025001926210176925
600490.SH,20210723,4.96,182600,20210726,5.45454,规则卖出,base,88831.58124500001,1471.4227549999998,0.09805649898009369
300545.SZ,20210723,28.39,31900,20210726,29.0709,规则卖出,base,20335.09761250003,1385.6123875,0.02244820531394101
603220.SH,20210728,13.68,69400,20210729,14.3856,规则卖出,base,47483.341200000024,1485.2988,0.050001973190912825
603115.SH,20210728,16.16,58700,20210729,17.762220000000003,规则卖出,base,92509.86310750018,1540.4508925000002,0.09749896838909103
300570.SZ,20210728,20.08,47300,20210729,19.66032,规则卖出,base,-21250.726419999966,1399.86242,-0.022368680738181955
300293.SZ,20210729,16.61,59500,20210730,18.50148,规则卖出,base,110919.93867500008,1623.121325,0.11220558195791218
603936.SH,20210729,12.49,79200,20210730,12.70728,规则卖出,base,15703.253280000088,1505.3227200000001,0.015870604006324368
000868.SZ,20210812,4.76,216700,20210813,4.53546,规则卖出,base,-50144.233727500054,1486.4157274999998,-0.048601153283107844
603611.SH,20210813,16.6,61100,20210816,16.7832,规则卖出,base,9658.138099999926,1535.3819,0.009519969405238977
002008.SZ,20210813,42.1,24100,20210816,42.44751,规则卖出,base,6842.607261249996,1532.38373875,0.006742390708736113
000839.SZ,20210813,2.57,394800,20210816,2.4975,规则卖出,base,-30109.17524999987,1486.17525,-0.029667437226296414
600130.SH,20210816,4.15,243400,20210817,4.16583,规则卖出,base,2333.0407224998016,1519.9812775,0.002309112480915719
603527.SH,20210816,9.48,106500,20210817,9.290700000000001,规则卖出,base,-21649.679437499814,1489.2294375000001,-0.021438034478721908
300851.SZ,20210816,39.06,25800,20210817,39.24072,规则卖出,base,3145.1257800000367,1517.4502200000004,0.0031201646592960413
603011.SH,20210823,5.86,171400,20210824,6.44355,规则卖出,base,98388.83841250002,1631.6315875,0.09793295063606114
601608.SH,20210823,4.31,233100,20210824,4.4855100000000006,规则卖出,base,39353.250273750244,1558.1307262500002,0.0391608855326774
000968.SZ,20210823,7.36,136500,20210824,7.61238,规则卖出,base,32899.84766250002,1550.0223375,0.03273971249035569
605118.SH,20210901,15.99,66400,20210902,17.012970000000003,规则卖出,base,66247.69749000006,1677.5105100000003,0.062380045232594356
000681.SZ,20210901,13.92,76200,20210902,14.455530000000001,规则卖出,base,39165.32076750018,1642.0652325,0.03691466411414405
300778.SZ,20210901,24.17,43900,20210902,24.975,规则卖出,base,33703.731124999955,1635.768875,0.031756179697318074
300275.SZ,20210915,12.36,89600,20210916,13.05693,规则卖出,base,60705.68783999985,1739.2401599999998,0.05480173949231125
002037.SZ,20210915,7.81,141800,20210916,7.9620299999999995,规则卖出,base,19869.71968249991,1688.1343175000002,0.01793725224263708
600299.SH,20210916,12.67,89500,20210917,12.47751,规则卖出,base,-18907.26768124992,1679.4126812499999,-0.016669422817933963
002235.SZ,20210922,5.03,224300,20210923,5.024970000000001,规则卖出,base,-2819.16221374988,1690.9332137500003,-0.002498125468632735
600170.SH,20210922,3.29,343000,20210923,3.61638,规则卖出,base,110115.69957500015,1832.640425,0.09755525404363209
000586.SZ,20210914,8.99,123200,20210924,8.92107,规则卖出,base,-10142.912779999904,1650.73678,-0.009155535087307064
603917.SH,20210923,11.35,102500,20210924,11.92806,规则卖出,base,57432.02356250025,1819.1264375000003,0.049354394881456064
600356.SH,20210923,8.11,143500,20210924,8.05194,规则卖出,base,-10066.872987500123,1735.2629874999998,-0.008647952068703028
300542.SZ,20210924,14.88,79000,20210927,16.25373,规则卖出,base,106625.73416250024,1898.9358375000002,0.0906824931871873
600545.SH,20211018,3.04,398800,20211019,3.10689,规则卖出,base,24823.85933500015,1851.872665,0.0204706676949185
002615.SZ,20211019,5.8,210400,20211020,5.73426,规则卖出,base,-15644.886379999965,1813.19038,-0.01281711037757799
000897.SZ,20211021,2.4,506400,20211022,2.41758,规则卖出,base,7068.34385999999,1834.16814,0.005814390152461876
601128.SH,20211021,7.32,166000,20211022,7.4925,规则卖出,base,26776.526249999908,1858.47375,0.022030609150990865
002090.SZ,20211027,10.69,114700,20211028,10.699290000000001,规则卖出,base,-774.9834537498728,1840.5464537500002,-0.0006318918399491699
002330.SZ,20211027,6.51,188400,20211028,6.43356,规则卖出,base,-16223.020380000075,1821.72438,-0.013223952076497065
002953.SZ,20211028,16.93,72100,20211029,17.1828,规则卖出,base,16373.116900000006,1853.7631000000003,0.013410055637301549
002885.SZ,20211028,15.95,76500,20211029,16.17381,规则卖出,base,15269.800668750144,1851.6643312500003,0.012511307126196625
002174.SZ,20211111,15.1,81500,20211112,15.04494,规则卖出,base,-6327.755762499897,1840.3657625,-0.0051405145402390285
603788.SH,20211111,14.98,82200,20211112,15.4845,规则卖出,base,39571.02862500019,1898.8713750000002,0.032128107826181126
600048.SH,20211111,14.85,82900,20211112,14.985,规则卖出,base,9330.913125000065,1860.586875,0.00757765104178506
300360.SZ,20211115,11.14,111800,20211116,11.548440000000001,规则卖出,base,43738.33451000009,1925.2574900000002,0.035109665133088434
600285.SH,20211115,11.84,105200,20211116,11.988,规则卖出,base,13681.78599999984,1887.8139999999999,0.01098162959260172
600452.SH,20211115,18.87,66000,20211116,18.42156,规则卖出,base,-31428.173699999945,1831.1336999999999,-0.02522869282679326
002467.SZ,20211119,4.38,286400,20211122,4.37562,规则卖出,base,-3134.5119600000253,1880.07996,-0.002498125468632862
603059.SH,20211119,23.16,54100,20211122,23.13684,规则卖出,base,-3130.8238050001078,1877.8678049999999,-0.0024981254686329275
